,2 & 4,Maintenance, LRG,RGA,2296,McIntyre Inglewood Rd,ARNOLD WEST,00 Rheola Llanelly  Rd,3.407,3.897,Maintenance Grade,Maintenance Grade,4,17311,0.49,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - McIntyre Inglewood Rd - RGA,2,0
,2,Maintenance, LRG,RGM,3081,Rheola Arnold Rd,ARNOLD WEST,00 Dunolly  Inglewood Rd,7.4,10.882,Maintenance Grade,Maintenance Grade,4,17311,3.482,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Rheola Arnold Rd - RGM,1,0
,2 & 4,Maintenance, LRG,RGA,86,Rheola Arnold Rd,ARNOLD WEST,00 Dunolly  Inglewood Rd,5.22,7.4,Maintenance Grade,Maintenance Grade,4,17311,2.18,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Rheola Arnold Rd - RGA,2,0
,2,Maintenance, LRG,RSC,3089,Rheola Llanelly Rd,ARNOLD WEST,00 Wedderburn-Dunolly Rd,4.815,9.1,Maintenance Grade,Maintenance Grade,4,17310,4.285,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Rheola Llanelly Rd - RSC,1,0
,1,Maintenance, LRG,RGM,108,Auchmore Homestead Rd,AUCHMORE,Missing Ref,5.645,5.888,Maintenance Grade,Maintenance Grade,4,17311,0.243,,,,,,,,100%,,,0,22/07/2014,,Pyramid Hill,,,,,AUCHMORE - Auchmore Homestead Rd - RGM,1,0.243
,15 16,Maintenance, LRG,RF,107,Auchmore Homestead Rd,AUCHMORE,Missing Ref,4.1,5.645,Maintenance Grade,Maintenance Grade,4,17312,1.545,,,,,,,,100%,,,0,22/07/2014,,Pyramid Hill,,,,,AUCHMORE - Auchmore Homestead Rd - RF,0,1.545
,1,Maintenance, LRG,RGM,111,Auchmore Rd,AUCHMORE,Missing Ref,4.5,10.471,Maintenance Grade,Maintenance Grade,4,17311,5.971,,,,,,,,,,,0,,,Pyramid Hill,,,,,AUCHMORE - Auchmore Rd - RGM,1,0
,1,Maintenance, LRG,RGM,288,Biggs Rd,AUCHMORE,Mahers Rd.,0,5.659,Maintenance Grade,Maintenance Grade,4,17311,5.659,,,,,,,,100%,,,0,29/07/2014,,Pyramid Hill,,,,,AUCHMORE - Biggs Rd - RGM,1,5.659
,14 15,Maintenance, LRG,RF,5554,Detering La,AUCHMORE,00 Auchmore Homesteed Rd,0,1.017,Maintenance Grade,Maintenance Grade,4,17312,1.017,,,,,,,,,,,0,,,Pyramid Hill,,,,,AUCHMORE - Detering La - RF,0,0
,1,Maintenance, LRG,RGM,2183,Mahers Rd,AUCHMORE,00 at Rothackers Rd,0,3.533,Maintenance Grade,Maintenance Grade,4,17311,3.533,,,,,,,,,,,0,,,Pyramid Hill,,,,,AUCHMORE - Mahers Rd - RGM,1,0
,1,Maintenance, LRG,RSC,2965,Pyramid Yarraberb Rd,AUCHMORE,00 Boot Mitiamo Rd,25.62,29.04,Maintenance Grade,Maintenance Grade,4,17310,3.42,,,,,,,,,,,0,,,Pyramid Hill,,,,,AUCHMORE - Pyramid Yarraberb Rd - RSC,1,0
,14 15,Maintenance, LRG,RF,3036,Raywood Durham Ox Rd,AUCHMORE,00 Greenhills Road,0.593,7.175,Maintenance Grade,Maintenance Grade,4,17312,6.582,,,,,,,,,,,0,,,Pyramid Hill,,,,,AUCHMORE - Raywood Durham Ox Rd - RF,0,0
,1,Maintenance, LRG,RSC,3171,Rothackers Rd,AUCHMORE,00 Loddon Valley Hwy,6.7,14.47,Maintenance Grade,Maintenance Grade,4,17310,7.77,,,,,,,,,,,0,,,Pyramid Hill,,,,,AUCHMORE - Rothackers Rd - RSC,1,0
,1 & 3,Maintenance, LRG,RGA,4416,Waterford Rd,AUCHMORE,00 Pyramid Yarraberb Rd,0,1.946,Maintenance Grade,Maintenance Grade,4,17311,1.946,,,,,,,,50%,,,0,28/07/2014,,Pyramid Hill,,,,,AUCHMORE - Waterford Rd - RGA,2,0
,14 15,Maintenance, LRG,RF,4726,Woolshed Rd,AUCHMORE,00 Loddon Valley Hwy,5.85,8.493,Maintenance Grade,Maintenance Grade,4,17312,2.643,,,,,,,,,,,0,,,Pyramid Hill,,,,,AUCHMORE - Woolshed Rd - RF,0,0
,14 15,Maintenance, LRG,RF,178,Barraport Church Rd,BARRAPORT,00 at Boort Quambatook Rd.,0,2.522,Maintenance Grade,Maintenance Grade,4,17312,2.522,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Barraport Church Rd - RF,0,0
,1,Maintenance, LRG,RSC,179,Barraport East Rd,BARRAPORT,Boort-Quambatook Rd,0,8.53,Maintenance Grade,Maintenance Grade,4,17310,8.53,,,,,,,,100%,,,0,24/07/2014,,Boort,,,,,BARRAPORT - Barraport East Rd - RSC,1,8.53
,1 & 3,Maintenance, LRG,RGC,185,Barraport East Rd,BARRAPORT,1.18 Lehmanns Rd,1.63,6.841,Maintenance Grade,Maintenance Grade,4,17311,5.211,,,,,,,,50%,,,0,24/07/2014,,Boort,,,,,BARRAPORT - Barraport East Rd - RGC,2,0
,1 & 3,Maintenance, LRG,RGA,193,Barraport Minmindie Rd,BARRAPORT,Boort-Quambatook Rd,0,2.492,Maintenance Grade,Maintenance Grade,4,17311,2.492,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Barraport Minmindie Rd - RGA,2,0
,15 16,Maintenance, LRG,RF,1413,Barraport Rd,BARRAPORT,Missing Ref,3.135,6.555,Maintenance Grade,Maintenance Grade,4,17312,3.42,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Barraport Rd - RF,0,0
,14 15,Maintenance, LRG,RF,2527,Barraport South Rd,BARRAPORT,Missing Ref,3.321,8.34,Maintenance Grade,Maintenance Grade,4,17312,5.019,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Barraport South Rd - RF,0,0
,1,Maintenance, LRG,RSA,196,Barraport West Rd,BARRAPORT,Boort-Quambatook Rd,0,1.784,Maintenance Grade,Maintenance Grade,4,17310,1.784,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Barraport West Rd - RSA,1,0
,1,Maintenance, LRG,RGM,203,Barraport West Rd,BARRAPORT,Missing Ref,4.084,11.104,Maintenance Grade,Maintenance Grade,4,17311,7.02,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Barraport West Rd - RGM,1,0
,1 & 3,Maintenance, LRG,RGA,201,Barraport West Rd,BARRAPORT,End of Seal,1.784,4.084,Maintenance Grade,Maintenance Grade,4,17311,2.3,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Barraport West Rd - RGA,2,0
,1,Maintenance, LRG,RSC,361,Boort Quambatook Rd,BARRAPORT,00 Boort-Wycheproof Rd,6.98,17.33,Maintenance Grade,Maintenance Grade,4,17310,10.35,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Boort Quambatook Rd - RSC,1,0
,0,Maintenance, LRG,RUF,3654,Challenger Rd,BARRAPORT,00 at Barraport Church Rd.,0,2.336,Maintenance Grade,Maintenance Grade,4,17312,2.336,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Challenger Rd - RUF,0,0
,15 16,Maintenance, LRG,RF,1658,Dunstons Rd,BARRAPORT,00 at Barraport Rd.,0,3.237,Maintenance Grade,Maintenance Grade,4,17312,3.237,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Dunstons Rd - RF,0,0
,15 16,Maintenance, LRG,RF,1210,Fitzpatricks G Rd,BARRAPORT,00 Boort Wycherproof Rd.,7.65,11.911,Maintenance Grade,Maintenance Grade,4,17312,4.261,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Fitzpatricks G Rd - RF,0,0
,14 15,Maintenance, LRG,RF,2341,Flemming Rd,BARRAPORT,00 at Henderson Rd,0,1.606,Maintenance Grade,Maintenance Grade,4,17312,1.606,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Flemming Rd - RF,0,0
,1 & 3,Maintenance, LRG,RGA,1416,Gredgwin East,BARRAPORT,00 Boort Quambatook,7.791,9.615,Maintenance Grade,Maintenance Grade,4,17311,1.824,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Gredgwin East - RGA,2,0
,15 16,Maintenance, LRG,RF,1415,Gredgwin East,BARRAPORT,00 Boort Quambatook,1.352,7.791,Maintenance Grade,Maintenance Grade,4,17312,6.439,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Gredgwin East - RF,0,0
,0,Maintenance, LRG,RUF,1518,Hawthorns Rd,BARRAPORT,00 Barraport West,1.93,3.224,Maintenance Grade,Maintenance Grade,4,17312,1.294,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Hawthorns Rd - RUF,0,0
,1,Maintenance, LRG,RGM,1516,Hawthorns Rd,BARRAPORT,00 Barraport West,0,1.655,Maintenance Grade,Maintenance Grade,4,17311,1.655,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Hawthorns Rd - RGM,1,0
,14 15,Maintenance, LRG,RF,1517,Hawthorns Rd,BARRAPORT,00 Barraport West,1.655,4.845,Maintenance Grade,Maintenance Grade,4,17312,3.19,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Hawthorns Rd - RF,0,0
,14 15,Maintenance, LRG,RF,1610,Hoskings,BARRAPORT,00 at Unnamed 2G,0,2.216,Maintenance Grade,Maintenance Grade,4,17312,2.216,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Hoskings - RF,0,0
,14 15,Maintenance, LRG,RF,122,Lanyon Rd,BARRAPORT,00 Boort Wycherproof Rd.,4.837,6.254,Maintenance Grade,Maintenance Grade,4,17312,1.417,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Lanyon Rd - RF,0,0
,1,Maintenance, LRG,RGM,2038,Lehmanns Rd,BARRAPORT,00 Barraport East Rd,6.164,7.967,Maintenance Grade,Maintenance Grade,4,17311,1.803,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Lehmanns Rd - RGM,1,0
,1 & 3,Maintenance, LRG,RGA,2033,Lehmanns Rd,BARRAPORT,00 Barraport East Rd,0,6.164,Maintenance Grade,Maintenance Grade,4,17311,6.164,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Lehmanns Rd - RGA,2,0
,1,Maintenance, LRG,RGM,852,Lewis Rd,BARRAPORT,00 Boort Quambatook Rd.,0,1.27,Maintenance Grade,Maintenance Grade,4,17311,1.27,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Lewis Rd - RGM,1,0
,14 15,Maintenance, LRG,RF,854,Lewis Rd,BARRAPORT,00 Boort Quambatook Rd.,1.27,1.957,Maintenance Grade,Maintenance Grade,4,17312,0.687,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Lewis Rd - RF,0,0
,14 15,Maintenance, LRG,RF,3987,Malone Lane,BARRAPORT,00 at Crump,0,8.941,Maintenance Grade,Maintenance Grade,4,17312,8.941,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Malone Lane - RF,0,0
,15 16,Maintenance, LRG,RF,3662,Nixon La,BARRAPORT,00 at Towns Rd,0,2.842,Maintenance Grade,Maintenance Grade,4,17312,2.842,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Nixon La - RF,0,0
,1,Maintenance, LRG,RGM,2600,North Boort Meering West Rd,BARRAPORT,00 Boort Quambatook Rd.,1,1.248,Maintenance Grade,Maintenance Grade,4,17311,0.248,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - North Boort Meering West Rd - RGM,1,0
,15 16,Maintenance, LRG,RF,2602,North Boort Meering West Rd,BARRAPORT,00 Boort Quambatook Rd.,2.147,4.035,Maintenance Grade,Maintenance Grade,4,17312,1.888,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - North Boort Meering West Rd - RF,0,0
,1 & 3,Maintenance, LRG,RGA,2716,Osborne Rd,BARRAPORT,00 Boort Wycherproof Rd.,4.722,5.416,Maintenance Grade,Maintenance Grade,4,17311,0.694,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Osborne Rd - RGA,2,0
,0,Maintenance, LRG,RUF,2814,Piccoli,BARRAPORT,00 at Boort Quambatook,0,3.351,Maintenance Grade,Maintenance Grade,4,17312,3.351,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Piccoli - RUF,0,0
,1,Maintenance, LRG,RGM,3164,Ross's Rd,BARRAPORT,00 Gredwin East Rd,0,0.709,Maintenance Grade,Maintenance Grade,4,17311,0.709,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Ross's Rd - RGM,1,0
,14 15,Maintenance, LRG,RF,3165,Ross's Rd,BARRAPORT,00 Gredwin East Rd,0.709,2.109,Maintenance Grade,Maintenance Grade,4,17312,1.4,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Ross's Rd - RF,0,0
,1,Maintenance, LRG,RGM,2340,Slatter Rd,BARRAPORT,00 Boort Quambatook Rd,0,4.938,Maintenance Grade,Maintenance Grade,4,17311,4.938,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Slatter Rd - RGM,1,0
,15 16,Maintenance, LRG,RF,3676,Tatchell Rd,BARRAPORT,00 James Rd.,7.174,11.174,Maintenance Grade,Maintenance Grade,4,17312,4,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Tatchell Rd - RF,0,0
,15 16,Maintenance, LRG,RF,3671,Towns Rd,BARRAPORT,00 at Boort - Quambatook.,0,8.385,Maintenance Grade,Maintenance Grade,4,17312,8.385,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Towns Rd - RF,0,0
,15 16,Maintenance, LRG,RF,3656,Wigney Rd,BARRAPORT,00 at Nixon Ln,0,1.644,Maintenance Grade,Maintenance Grade,4,17312,1.644,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Wigney Rd - RF,0,0
,15 16,Maintenance, LRG,RF,3650,Woods Rd No 2,BARRAPORT,00 at Barraport West Rd.,0,1.545,Maintenance Grade,Maintenance Grade,4,17312,1.545,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT - Woods Rd No 2 - RF,0,0
,1 & 3,Maintenance, LRG,RGA,291,Billings Rd,BARRAPORT WEST,Missing Ref,4.628,7.161,Maintenance Grade,Maintenance Grade,4,17311,2.533,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT WEST - Billings Rd - RGA,2,0
,15 16,Maintenance, LRG,RF,292,Billings Rd,BARRAPORT WEST,James Rd.,0,8.807,Maintenance Grade,Maintenance Grade,4,17312,8.807,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT WEST - Billings Rd - RF,0,0
,15 16,Maintenance, LRG,RF,1209,Fitzpatricks G Rd,BARRAPORT WEST,00 Boort Wycherproof Rd.,0.612,7.65,Maintenance Grade,Maintenance Grade,4,17312,7.038,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT WEST - Fitzpatricks G Rd - RF,0,0
,1 & 3,Maintenance, LRG,RGA,1578,Hills Rd,BARRAPORT WEST,00  Quambatook Wychitella Rd,0,3.616,Maintenance Grade,Maintenance Grade,4,17311,3.616,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT WEST - Hills Rd - RGA,2,0
,14 15,Maintenance, LRG,RF,1580,Hills Rd,BARRAPORT WEST,00  Quambatook Wychitella Rd,3.616,7.182,Maintenance Grade,Maintenance Grade,4,17312,3.566,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT WEST - Hills Rd - RF,0,0
,1,Maintenance, LRG,RGM,3646,Mackwood Rd,BARRAPORT WEST,00 Tatchel Rd,1.566,1.681,Maintenance Grade,Maintenance Grade,4,17311,0.115,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT WEST - Mackwood Rd - RGM,1,0
,14 15,Maintenance, LRG,RF,3645,Mackwood Rd,BARRAPORT WEST,00 Tatchel Rd,0,2.998,Maintenance Grade,Maintenance Grade,4,17312,2.998,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT WEST - Mackwood Rd - RF,0,0
,1,Maintenance, LRG,RGM,2393,Mosquito Creek Rd,BARRAPORT WEST,00 Quambatook Wychitella,2.42,2.743,Maintenance Grade,Maintenance Grade,4,17311,0.323,,,,,,,,,,,0,,,Boort,,,,,BARRAPORT WEST - Mosquito Creek Rd - RGM,1,0
